"tank_ID","Species","n.simple.N","n.sample.dissim","n.tank.dissim","Mean","SD","q.025","Median","q.975"
"40","Gadus macrocephalus",9,2,1,0.371502508977662,0.18251083609048,0.250109217231962,0.285063516565991,0.566368944273283
"41","Boreogadus saida",9,2,0,0.462728469480528,0.0848913381435195,0.371991795718047,0.510114414121422,0.513187090298251
"41","Gadus chalcogrammus",9,2,0,0.537267789768816,0.0848911725513371,0.486809180221514,0.489882036677604,0.628004289443649
"41","Gadus macrocephalus",9,2,0,3.73614331102363e-06,1.90669030395856e-07,3.55771387596967e-06,3.72994485622849e-06,3.91984143265345e-06
"42","Boreogadus saida",9,0,0,1.78182644049816e-06,9.93088215444637e-07,1.0312488204183e-06,1.43315212667584e-06,2.82877722732698e-06
"42","Gadus chalcogrammus",9,0,0,1.865032011208e-06,9.4479131005854e-07,1.08620972225932e-06,1.63369551763815e-06,2.84049031969106e-06
"42","Gadus macrocephalus",9,0,0,0.999996230461904,1.9881712601072e-06,0.999994153344904,0.999996825549174,0.999997801754725
"43","Boreogadus saida",9,0,0,1.37839608761691e-06,5.55975328891987e-08,1.34605718289563e-06,1.34656389904856e-06,1.43779235262128e-06
"43","Gadus chalcogrammus",9,0,0,0.00521827127158547,0.00530585015913701,0.00171247767164969,0.00267617565136016,0.0108848461487128
"43","Gadus macrocephalus",9,0,0,0.994780263692873,0.00530581685331022,0.989113722562748,0.997322379959071,0.998286005996728
"45","Boreogadus saida",9,0,0,0.0743587655281277,0.0132475641476881,0.0646081254350793,0.0693330503907654,0.0883812634879341
"45","Gadus chalcogrammus",9,0,0,0.527837359223012,0.0933807815373265,0.428333658176255,0.569193197082378,0.592188598089309
"45","Gadus macrocephalus",9,0,0,0.39780379805659,0.0809073972616036,0.338726941939691,0.366447301902617,0.483533675904367
"46","Boreogadus saida",9,0,0,0.189097452367893,0.0105579664973238,0.179640780362224,0.187868501003163,0.199598733033581
"46","Gadus chalcogrammus",9,0,0,0.160825328885919,0.0417141220704751,0.135516287248731,0.138130877837942,0.205424653913886
