"tank_ID","Species","n.simple.N","n.sample.dissim","n.tank.dissim","Mean","SD","q.025","Median","q.975"
"79","Boreogadus saida",9,0,0,0.0307653471902699,0.00409538360394295,0.0266989647728932,0.0312216316423902,0.0344438878233444
"79","Gadus chalcogrammus",9,0,0,0,0,0,0,0
"79","Gadus macrocephalus",9,0,0,0.96923465280973,0.00409538360394277,0.965556112176655,0.96877836835761,0.973301035227106
"80","Boreogadus saida",9,1,0,0.715065803765165,0.0680359868112811,0.675588654188109,0.676004030219326,0.787745460856183
"80","Gadus chalcogrammus",9,1,0,7.86001316552207e-05,0.000136139421508445,0,0,0.000224010375217379
"80","Gadus macrocephalus",9,1,0,0.28485559610318,0.0679683989343336,0.212242749124068,0.323760169385708,0.324399555792143
"83","Boreogadus saida",9,0,0,0,0,0,0,0
"83","Gadus chalcogrammus",9,0,0,0,0,0,0,0
"83","Gadus macrocephalus",9,0,0,1,0,1,1,1
"86","Boreogadus saida",9,1,0,0.920930999511926,0.0130203757602135,0.908284118595862,0.921614048851895,0.932997288489016
"86","Gadus chalcogrammus",9,1,0,0,0,0,0,0
"86","Gadus macrocephalus",9,1,0,0.079069000488074,0.0130203757602138,0.0670027115109835,0.0783859511481055,0.0917158814041377
"87","Boreogadus saida",9,0,0,0,0,0,0,0
"87","Gadus chalcogrammus",9,0,0,0.00144369329799271,0.00212316598535852,0.000123199199570731,0.000326371115844442,0.00371391125124073
"87","Gadus macrocephalus",9,0,0,0.998556306702008,0.00212316598535863,0.99628608874876,0.999673628884156,0.99987680080043
"89","Boreogadus saida",9,0,0,0,0,0,0,0
"89","Gadus chalcogrammus",9,0,0,0.383540158463779,0.0290300818330037,0.352870338498082,0.39414948672505,0.405192049407395
"89","Gadus macrocephalus",9,0,0,0.616459841536221,0.0290300818330037,0.594807950592605,0.60585051327495,0.647129661501918
"9","Boreogadus saida",9,2,0,0.504265946400685,0.0324789997980143,0.473626881164527,0.503764243846651,0.535331458807773
"9","Gadus chalcogrammus",9,2,0,0,0,0,0,0
"9","Gadus macrocephalus",9,2,0,0.495734053599315,0.0324789997980143,0.464668541192227,0.496235756153349,0.526373118835473
"91","Boreogadus saida",9,0,0,0.0092989378982056,0.00309575343992219,0.00693547999867292,0.00824669043178209,0.0125568061441983
"91","Gadus chalcogrammus",9,0,0,0,0,0,0,0
"91","Gadus macrocephalus",9,0,0,0.990701062101794,0.00309575343992243,0.987443193855801,0.991753309568218,0.993064520001327
"92","Boreogadus saida",9,0,0,0.0113043742763837,0.00194491766721323,0.0100688904619613,0.0103116926211281,0.0133836374977735
"92","Gadus chalcogrammus",9,0,0,0.984096653562572,0.00258036853941951,0.981517856419495,0.984433508784657,0.986389123766876
"92","Gadus macrocephalus",9,0,0,0.00459897216104452,0.000996847347684393,0.00353375984950608,0.0050902801610743,0.00524657267255763
"93","Boreogadus saida",9,0,0,0,0,0,0,0
"93","Gadus chalcogrammus",9,0,0,0.95666064016329,0.0212516826480673,0.933981456922177,0.966536455084649,0.970945380721248
"93","Gadus macrocephalus",9,0,0,0.0433393598367095,0.0212516826480673,0.0290546192787513,0.0334635449153511,0.0660185430778223
"96","Boreogadus saida",8,0,0,0.000693425965860974,0.00101499599990083,1.10927933417241e-05,0.000221855866834481,0.00177659372255274
"96","Gadus chalcogrammus",8,0,0,0.803480669726794,0.0276158351364583,0.780900677365384,0.796414983077648,0.832066495739979
"96","Gadus macrocephalus",8,0,0,0.195825904307345,0.0268070208615726,0.167922411466679,0.203363161055518,0.217322728912064
"97","Boreogadus saida",9,0,0,0,0,0,0,0
"97","Gadus chalcogrammus",9,0,0,0.266917366430874,0.0249268806629775,0.25133578412816,0.253892391611613,0.293570177329961
"97","Gadus macrocephalus",9,0,0,0.733082633569126,0.0249268806629776,0.706429822670039,0.746107608388387,0.74866421587184
"98","Boreogadus saida",9,0,0,0,0,0,0,0
"98","Gadus chalcogrammus",9,0,0,0.106683529688873,0.0759345823437659,0.0577509873998731,0.0687704647963048,0.187842177136556
"98","Gadus macrocephalus",9,0,0,0.893316470311127,0.0759345823437659,0.812157822863444,0.931229535203695,0.942249012600127
"T_118","Boreogadus saida",3,0,1,0,NA,0,0,0
"T_118","Gadus chalcogrammus",3,0,1,1,NA,1,1,1
"T_118","Gadus macrocephalus",3,0,1,0,NA,0,0,0
"T_188","Boreogadus saida",2,0,1,0,NA,0,0,0
"T_188","Gadus chalcogrammus",2,0,1,0,NA,0,0,0
"T_188","Gadus macrocephalus",2,0,1,1,NA,1,1,1
"T_55","Boreogadus saida",2,0,1,1,NA,1,1,1
"T_55","Gadus chalcogrammus",2,0,1,0,NA,0,0,0
"T_55","Gadus macrocephalus",2,0,1,0,NA,0,0,0
